emp_no,salary,from_date,to_date
10006,40000,1990-08-05,1991-08-05
10012,40000,1992-12-18,1993-12-18
10013,40000,1985-10-20,1986-10-20
10015,40000,1992-09-19,1993-08-22
10020,40000,1997-12-30,1998-12-30
10022,40000,1999-09-03,2000-09-02
10022,39935,2000-09-02,2001-09-02
10025,40000,1987-08-17,1988-08-16
10027,40000,1995-04-02,1996-04-01
10027,39520,1996-04-01,1997-04-01
10031,40000,1991-09-01,1992-08-31
10037,40000,1990-12-05,1991-12-05
10037,39765,1991-12-05,1992-12-04
10038,40000,1989-09-20,1990-09-20
10039,40000,1988-01-19,1989-01-18
10046,40000,1992-06-20,1993-06-20
10048,40000,1985-02-24,1986-02-24
10048,39507,1986-02-24,1987-01-27
10049,40000,1992-05-04,1993-05-04
10049,39735,1993-05-04,1994-05-04
10054,40000,1995-07-29,1996-07-28
10063,40000,1989-04-08,1990-04-08
10064,40000,1985-11-20,1986-11-20
10064,39551,1986-11-20,1987-11-20
10065,40000,1998-05-24,1999-05-24
10071,40000,1995-08-05,1996-08-04
10072,40000,1989-05-21,1990-05-21
10072,39567,1990-05-21,1991-05-21
10072,39724,1991-05-21,1992-05-20
10077,40000,1994-12-23,1995-12-23
10083,40000,1987-03-31,1988-03-30
10085,40000,1994-04-09,1995-04-09
10091,40000,1992-11-18,1993-11-18
10098,40000,1985-05-13,1986-05-13
10108,40000,1999-03-20,2000-03-19
10109,40000,1993-06-16,1994-06-16
10111,40000,1988-12-19,1989-12-19
10115,40000,1988-03-03,1989-03-03
10118,40000,1992-02-02,1993-02-01
10126,40000,1985-09-08,1986-09-08
10127,40000,1991-05-17,1992-05-16
10128,40000,1988-06-06,1989-06-06
10129,40000,1996-01-16,1997-01-15
10130,40000,1988-06-21,1989-06-21
10133,40000,1985-12-15,1986-12-15
10134,40000,1987-12-12,1988-12-11
10135,40000,1990-01-04,1991-01-04
10137,40000,1985-02-18,1986-02-18
10139,40000,1998-03-15,1999-03-15
10142,40000,1993-10-28,1994-10-28
10143,40000,1988-09-30,1989-09-30
10147,40000,1987-12-18,1988-12-17
10152,40000,1986-01-27,1987-01-27
10154,40000,1996-10-23,1997-10-23
10154,39564,1997-10-23,1998-10-23
10154,39855,1998-10-23,1999-10-23
10162,40000,1998-05-27,1999-05-27
10179,40000,2000-01-25,2001-01-24
10181,40000,1988-06-22,1989-06-22
10183,40000,1996-08-11,1997-08-11
10186,40000,1996-12-25,1997-08-16
10190,40000,1986-06-23,1987-06-23
10191,40000,1986-04-10,1987-04-10
10192,40000,1988-06-13,1989-06-13
10195,40000,1985-02-15,1986-02-15
10197,40000,1994-06-28,1995-06-28
10201,40000,1992-11-10,1993-11-10
10203,40000,1989-04-06,1990-04-06
10204,40000,1998-12-18,1999-03-08
10205,40000,1993-08-23,1994-08-23
10206,40000,1988-04-19,1989-04-19
10210,40000,1996-02-24,1997-02-23
10210,39836,1997-02-23,1998-02-23
10210,39940,1998-02-23,1999-02-23
10210,39661,1999-02-23,2000-02-23
10213,40000,1994-10-06,1995-10-06
10213,39636,1995-10-06,1996-10-05
10216,40000,1987-10-30,1988-10-29
10217,40000,1986-05-12,1987-05-12
10219,40000,1993-03-31,1994-03-31
10222,40000,1986-06-08,1987-06-08
10222,39812,1987-06-08,1988-06-07
10224,40000,1988-01-09,1989-01-08
10225,40000,1995-12-14,1996-12-13
10231,40000,1998-09-09,1999-09-09
10233,40000,1994-04-29,1995-04-29
10241,40000,1988-06-12,1989-06-12
10242,40000,1988-01-18,1989-01-17
10245,40000,1994-04-21,1995-02-20
10246,40000,1991-02-01,1992-02-01
10246,39973,1992-02-01,1993-01-31
10247,40000,1992-08-14,1993-08-14
10252,40000,1990-11-08,1991-11-08
10257,40000,1997-07-16,1998-07-16
10261,40000,1996-09-11,1997-09-11
10267,40000,1997-04-26,1998-04-26
10267,39871,1998-04-26,1999-04-26
10267,39539,1999-04-26,2000-04-25
10267,39838,2001-04-25,2002-04-25
10269,40000,1988-07-24,1989-07-24
10275,40000,1987-09-08,1988-09-07
10276,40000,1986-10-19,1987-10-19
10279,40000,1995-04-26,1996-04-25
10282,40000,1996-05-02,1997-05-02
10282,39682,1997-05-02,1998-05-02
10282,39265,1998-05-02,1999-05-02
10283,40000,1988-05-25,1989-05-25
10284,40000,1999-07-06,2000-07-05
10284,39773,2000-07-05,2001-07-05
10286,40000,1994-12-24,1995-12-24
10289,40000,1993-03-12,1994-03-12
10298,40000,1999-04-27,2000-04-26
10298,39994,2000-04-26,2001-04-26
10301,40000,1988-05-23,1989-05-23
10303,40000,1990-02-05,1991-02-05
10307,40000,1999-10-16,2000-10-15
10311,40000,1998-11-04,1999-11-04
10316,40000,1990-12-18,1991-01-02
10323,40000,1991-06-06,1992-06-05
10326,40000,1998-09-02,1999-09-02
10334,40000,1998-02-15,1999-02-15
10338,40000,1999-12-29,2000-12-28
10339,40000,1989-11-30,1990-11-30
10341,40000,1987-04-29,1988-04-28
10342,40000,1987-07-25,1988-07-24
10343,40000,1997-10-03,1998-10-03
10348,40000,1995-10-22,1996-10-21
10351,40000,1995-05-01,1996-04-30
10352,40000,1998-12-16,1999-12-16
10357,40000,1994-04-04,1995-04-04
10359,40000,1998-07-20,1999-07-20
10360,40000,1996-09-04,1997-09-04
10362,40000,1990-11-02,1991-11-02
10377,40000,1996-08-24,1997-08-24
10379,40000,1996-07-15,1997-07-15
10385,40000,1992-12-20,1993-12-20
10390,40000,1989-05-17,1990-05-17
